NamesMap
"('Aruba', 'Aruba')"
"('Afghanistan', 'Afghanistan')"
"('Angola', 'Angola')"
"('Albania', 'Albania')"
"('Andorra', 'Andorra')"
"('United Arab Emirates', 'United Arab Emirates')"
"('Argentina', 'Argentina')"
"('Australia', 'Australia')"
"('Austria', 'Austria')"
"('Azerbaijan', 'Azerbaijan')"
"('Burundi', 'Burundi')"
"('Belgium', 'Belgium')"
"('Benin', 'Benin')"
"('Burkina Faso', 'Burkina Faso')"
"('Bangladesh', 'Bangladesh')"
"('Bulgaria', 'Bulgaria')"
"('Bahrain', 'Bahrain')"
"('Bahamas', 'Bahamas')"
"('Bosnia and Herzegovina', 'Bosnia and Herzegovina')"
"('Belarus', 'Belarus')"
"('Belize', 'Belize')"
"('Bermuda', 'Bermuda')"
"('Bolivia', 'Bolivia')"
"('Barbados', 'Barbados')"
"('Brunei', 'Brunei')"
"('Bhutan', 'Bhutan')"
"('Botswana', 'Botswana')"
"('Central African Republic', 'Central African Republic')"
"('Canada', 'Canada')"
"('Switzerland', 'Switzerland')"
"('Chile', 'Chile')"
"('China', 'China')"
"(""Cote d'Ivoire"", ""Cote d'Ivoire"")"
"('Cameroon', 'Cameroon')"
"('Democratic Republic of Congo', 'Democratic Republic of Congo')"
"('Congo', 'Congo')"
"('Colombia', 'Colombia')"
"('Comoros', 'Comoros')"
"('Cape Verde', 'Cape Verde')"
"('Costa Rica', 'Costa Rica')"
"('Cuba', 'Cuba')"
"('Cyprus', 'Cyprus')"
"('Czech Republic', 'Czech Republic')"
"('Germany', 'Germany')"
"('Djibouti', 'Djibouti')"
"('Dominica', 'Dominica')"
"('Denmark', 'Denmark')"
"('Dominican Republic', 'Dominican Republic')"
"('Algeria', 'Algeria')"
"('Ecuador', 'Ecuador')"
"('Egypt', 'Egypt')"
"('Eritrea', 'Eritrea')"
"('Spain', 'Spain')"
"('Estonia', 'Estonia')"
"('Ethiopia', 'Ethiopia')"
"('Finland', 'Finland')"
"('Fiji', 'Fiji')"
"('France', 'France')"
"('Faeroe Islands', 'Faeroe Islands')"
"('Gabon', 'Gabon')"
"('Ghana', 'Ghana')"
"('Guinea', 'Guinea')"
"('Gambia', 'Gambia')"
"('Greece', 'Greece')"
