,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado,parte_partida
0,0,1,blancas,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4,-51.0,e7e5,0,Apertura
1,0,1,negras,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Nc6,108.0,d2d4,0,Apertura
2,0,2,blancas,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,Nf3,-22.0,e7e5,0,Apertura
3,0,2,negras,r1bqkbnr/ppp1pppp/2n5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d5,126.0,b1c3,0,Apertura
4,0,3,blancas,r1bqkbnr/ppp1pppp/2n5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,exd5,-125.0,d8d5,0,Apertura
5,0,3,negras,r1b1kbnr/ppp1pppp/2n5/3q4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,Qxd5,189.0,d2d4,0,Apertura
6,0,4,blancas,r1b1kbnr/ppp1pppp/2n5/3q4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 4,Nc3,-131.0,d5a5,0,Apertura
7,0,4,negras,r1b1kbnr/ppp1pppp/2n5/q7/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 5,Qa5,190.0,f1e2,0,Apertura
8,0,5,blancas,r1b1kbnr/ppp1pppp/2n5/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,d4,-123.0,c8g4,0,Apertura
9,0,5,negras,r3kbnr/ppp1pppp/2n5/q7/3P2b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6,Bg4,89.0,c1d2,0,Apertura
10,0,6,blancas,r3kbnr/ppp1pppp/2n5/qB6/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQkq - 2 6,Bb5,-161.0,g8f6,0,Medio_juego
11,0,6,negras,2kr1bnr/ppp1pppp/2n5/qB6/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQ - 3 7,O-O-O,217.0,b5c6,0,Medio_juego
12,0,7,blancas,2kr1bnr/ppp1pppp/2B5/q7/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQ - 0 7,Bxc6,-29.0,b7c6,0,Medio_juego
13,0,7,negras,2kr1bnr/p1p1pppp/2p5/q7/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQ - 0 8,bxc6,203.0,e1g1,0,Medio_juego
14,0,8,blancas,2kr1bnr/p1p1pppp/2p5/q7/3P2b1/2N2N1P/PPP2PP1/R1BQK2R b KQ - 0 8,h3,-38.0,g4f3,0,Medio_juego
15,0,8,negras,2kr1bnr/p1p1pppp/2p5/7q/3P2b1/2N2N1P/PPP2PP1/R1BQK2R w KQ - 1 9,Qh5,66.0,e1g1,0,Medio_juego
16,0,9,blancas,2kr1bnr/p1p1pppp/2p5/7q/3P2b1/2N1BN1P/PPP2PP1/R2QK2R b KQ - 2 9,Be3,-28.0,g4f3,0,Medio_juego
17,0,9,negras,2kr1b1r/p1p1pppp/2p2n2/7q/3P2b1/2N1BN1P/PPP2PP1/R2QK2R w KQ - 3 10,Nf6,71.0,e1g1,0,Medio_juego
18,0,10,blancas,2kr1b1r/p1p1pppp/2p2n2/7q/3P2b1/2N1BN1P/PPP1QPP1/R3K2R b KQ - 4 10,Qe2,-1.0,g4f3,0,Medio_juego
19,0,10,negras,2kr1b1r/p1p1pppp/2p2n2/7q/3P4/2N1Bb1P/PPP1QPP1/R3K2R w KQ - 0 11,Bxf3,98.0,g2f3,0,Medio_juego
20,0,11,blancas,2kr1b1r/p1p1pppp/2p2n2/7q/3P4/2N1BP1P/PPP1QP2/R3K2R b KQ - 0 11,gxf3,-74.0,h5a5,0,Medio_juego
21,0,11,negras,2kr1b1r/p1p2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/R3K2R w KQ - 0 12,e6,74.0,e1c1,0,Medio_juego
22,0,12,blancas,2kr1b1r/p1p2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR3R b - - 1 12,O-O-O,-86.0,h5a5,0,Medio_juego
23,0,12,negras,3r1b1r/pkp2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR3R w - - 2 13,Kb7,125.0,c3a4,0,Medio_juego
24,0,13,blancas,3r1b1r/pkp2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR2R1 b - - 3 13,Rhg1,-50.0,f6d5,0,Medio_juego
25,0,13,negras,3r1b1r/pkp2pp1/2p1pn1p/7q/3P4/2N1BP1P/PPP1QP2/2KR2R1 w - - 0 14,h6,112.0,g1g3,0,Medio_juego
26,0,14,blancas,3r1b1r/pkp2pp1/2p1pn1p/7q/3P4/2NRBP1P/PPP1QP2/2K3R1 b - - 1 14,Rd3,-107.0,h5h3,0,Medio_juego
27,0,14,negras,3r1br1/pkp2pp1/2p1pn1p/7q/3P4/2NRBP1P/PPP1QP2/2K3R1 w - - 2 15,Rg8,171.0,c3a4,0,Medio_juego
28,0,15,blancas,3r1br1/pkp2pp1/2p1pn1p/7q/3PN3/3RBP1P/PPP1QP2/2K3R1 b - - 3 15,Ne4,-305.0,f6e4,0,Medio_juego
29,0,15,negras,3r2r1/pkp1bpp1/2p1pn1p/7q/3PN3/3RBP1P/PPP1QP2/2K3R1 w - - 4 16,Be7,180.0,d3b3,0,Medio_juego
30,0,16,blancas,3r2r1/pkp1bpp1/2p1pn1p/7q/3PN3/1R2BP1P/PPP1QP2/2K3R1 b - - 5 16,Rb3+,-237.0,b7a8,0,Medio_juego
31,0,16,negras,2kr2r1/p1p1bpp1/2p1pn1p/7q/3PN3/1R2BP1P/PPP1QP2/2K3R1 w - - 6 17,Kc8,304.0,e2d3,0,Medio_juego
32,0,17,blancas,2kr2r1/p1p1bpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2K3R1 b - - 7 17,Qa6+,-65.0,c8d7,0,Medio_juego
33,0,17,negras,3r2r1/p1pkbpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2K3R1 w - - 8 18,Kd7,251.0,b3c3,0,Medio_juego
34,0,18,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2KR4 b - - 9 18,Rd1,-22.0,f6d5,0,Medio_juego
35,0,18,negras,3r2r1/p1pkbpp1/Q1p1pn1p/8/3PN3/1R2Bq1P/PPP2P2/2KR4 w - - 0 19,Qxf3,187.0,e3d2,0,Medio_juego
36,0,19,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/8/3P4/1R2Bq1P/PPPN1P2/2KR4 b - - 1 19,Nd2,-174.0,f3h3,0,Medio_juego
37,0,19,negras,3r2r1/p1pkbpp1/Q1p1pn1p/8/3P4/1R2B2q/PPPN1P2/2KR4 w - - 0 20,Qxh3,430.0,e3f4,0,Medio_juego
38,0,20,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/8/2NP4/1R2B2q/PPP2P2/2KR4 b - - 1 20,Nc4,-371.0,f6d5,0,Medio_juego
39,0,20,negras,3rk1r1/p1p1bpp1/Q1p1pn1p/8/2NP4/1R2B2q/PPP2P2/2KR4 w - - 2 21,Ke8,489.0,a6c6,0,Medio_juego
40,0,21,blancas,3rk1r1/p1p1bpp1/Q1p1pn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 b - - 3 21,Ne5,-294.0,f6d5,0,Medio_juego
41,0,21,negras,3rk1r1/p1p2pp1/Q1pbpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 w - - 4 22,Bd6,382.0,e3g5,0,Medio_juego
42,0,22,blancas,3rk1r1/p1p2pp1/Q1Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 b - - 0 22,Nxc6,-429.0,d8a8,0,Medio_juego
43,0,22,negras,r3k1r1/p1p2pp1/Q1Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 w - - 1 23,Ra8,373.0,c1b1,0,Medio_juego
44,0,23,blancas,r3k1r1/pQp2pp1/2Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 b - - 2 23,Qb7,-308.0,e8d7,0,Medio_juego
45,0,23,negras,r5r1/pQpk1pp1/2Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 w - - 3 24,Kd7,422.0,e3d2,0,Medio_juego
46,0,24,blancas,r5r1/pQpk1pp1/3bpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 b - - 4 24,Ne5+,-561.0,d7e7,0,Medio_juego
47,0,24,negras,r5r1/pQp1kpp1/3bpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 w - - 5 25,Ke7,557.0,e3g5,0,Medio_juego
48,0,25,blancas,r5r1/pQp1kpp1/3bpn1p/4N3/3P1B2/1R5q/PPP2P2/2KR4 b - - 6 25,Bf4,-330.0,h3h5,0,Medio_juego
49,0,25,negras,r5r1/pQp1kpp1/3bpn1p/4Nq2/3P1B2/1R6/PPP2P2/2KR4 w - - 7 26,Qf5,493.0,e5c6,0,Medio_juego
50,0,26,blancas,r5r1/pQp1kpp1/2Nbpn1p/5q2/3P1B2/1R6/PPP2P2/2KR4 b - - 8 26,Nc6+,-462.0,e7d7,0,Medio_juego
51,0,26,negras,r5r1/pQpk1pp1/2Nbpn1p/5q2/3P1B2/1R6/PPP2P2/2KR4 w - - 9 27,Kd7,591.0,f4d6,0,Medio_juego
52,0,27,blancas,r5r1/pQpk1pp1/2NBpn1p/5q2/3P4/1R6/PPP2P2/2KR4 b - - 0 27,Bxd6,-479.0,d7d6,0,Medio_juego
53,0,27,negras,r5r1/pQp2pp1/2Nkpn1p/5q2/3P4/1R6/PPP2P2/2KR4 w - - 0 28,Kxd6,659.0,c6e5,0,Medio_juego
54,0,28,blancas,r5r1/pQp2pp1/3kpn1p/4Nq2/3P4/1R6/PPP2P2/2KR4 b - - 1 28,Ne5,-598.0,f6d5,0,Medio_juego
55,0,28,negras,r5r1/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/2KR4 w - - 2 29,Qf4+,972.0,b3e3,0,Medio_juego
56,0,29,blancas,r5r1/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/1K1R4 b - - 3 29,Kb1,-609.0,f6d5,0,Medio_juego
57,0,29,negras,r4r2/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/1K1R4 w - - 4 30,Rgf8,9.0,b7c6,0,Medio_juego
58,1,1,blancas,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4,-51.0,e7e5,0,Apertura
59,1,1,negras,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e6,48.0,d2d4,0,Apertura
60,1,2,blancas,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d4,-76.0,d7d5,0,Apertura
61,1,2,negras,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d5,50.0,e4e5,0,Apertura
62,1,3,blancas,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,e5,-29.0,c7c5,0,Apertura
63,1,3,negras,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c5,39.0,c2c3,0,Apertura
64,1,4,blancas,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,c3,-29.0,b8c6,0,Apertura
