,valoracion_stockfish
0,-51.0
1,108.0
2,-22.0
3,126.0
4,-125.0
5,189.0
6,-131.0
7,190.0
8,-123.0
9,89.0
10,-161.0
11,217.0
12,-29.0
13,203.0
14,-38.0
15,66.0
16,-28.0
17,71.0
18,-1.0
19,98.0
20,-74.0
21,74.0
22,-86.0
23,125.0
24,-50.0
25,112.0
26,-107.0
27,171.0
28,-305.0
29,180.0
30,-237.0
31,304.0
32,-65.0
33,251.0
34,-22.0
35,187.0
36,-174.0
37,430.0
38,-371.0
39,489.0
40,-294.0
41,382.0
42,-429.0
43,373.0
44,-308.0
45,422.0
46,-561.0
47,557.0
48,-330.0
49,493.0
50,-462.0
51,591.0
52,-479.0
53,659.0
54,-598.0
55,972.0
56,-609.0
57,9.0
58,-51.0
59,48.0
60,-76.0
61,50.0
62,-29.0
63,39.0
64,-29.0
65,55.0
66,-24.0
67,8.0
68,-23.0
69,1.0
70,0.0
71,-20.0
72,12.0
73,0.0
74,77.0
75,-36.0
76,66.0
77,-2.0
78,55.0
79,-70.0
80,81.0
81,38.0
82,5.0
83,113.0
84,-62.0
85,121.0
86,-12.0
87,98.0
88,-123.0
89,147.0
90,-33.0
91,132.0
92,-161.0
93,165.0
94,-188.0
95,210.0
96,-225.0
97,260.0
98,-241.0
99,280.0
100,-217.0
101,297.0
102,-261.0
103,204.0
104,-250.0
105,338.0
106,-236.0
107,236.0
108,-240.0
109,237.0
110,-211.0
111,319.0
112,-214.0
113,240.0
114,-209.0
115,307.0
116,-235.0
117,365.0
118,-236.0
119,269.0
120,-248.0
121,215.0
122,-191.0
123,277.0
124,-300.0
125,321.0
126,-341.0
127,328.0
128,-324.0
129,305.0
130,-368.0
131,325.0
132,-362.0
133,356.0
134,-353.0
135,373.0
136,-389.0
137,402.0
138,-400.0
139,431.0
140,-393.0
141,423.0
142,-408.0
143,508.0
144,-466.0
145,512.0
146,-432.0
147,558.0
148,-460.0
149,878.0
150,-826.0
151,-46.0
152,35.0
153,-51.0
154,26.0
155,-45.0
156,30.0
157,-24.0
158,75.0
159,26.0
160,69.0
161,28.0
162,44.0
163,-17.0
164,129.0
165,-54.0
166,73.0
167,-66.0
168,71.0
169,-86.0
170,95.0
171,-37.0
172,65.0
173,-81.0
174,105.0
175,-53.0
176,82.0
177,-55.0
178,124.0
179,11.0
180,162.0
